age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,floor,locality,neworold,ownership,price,pricepersquare,status
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall","Children's play area,Sports Facility,Jogging Track","1,620 sq ft",3,3,3 BHK Apartment ,"11, ",Koregaon Park,Resale,Freehold,13800000,"₹ 8,518/ sq ft ","Ready to move,Unfurnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","4,665 sq ft",3,6,4 BHK Apartment ,"10, ",Hadapsar,New,Co-Operative Society,31000000,"₹ 6,645/ sq ft ",Ready to move
10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,485 sq ft",1,3,3 BHK Apartment ,"4, ",Viman Nagar,Resale,Co-Operative Society,11500000,"₹ 7,744/ sq ft ","Ready to move,Semi-Furnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"1,750 sq ft",2,3,3 BHK Apartment ,"1, ",Wadgaon Sheri,Resale,Freehold,19000000,"₹ 10,857/ sq ft ","Ready to move,Unfurnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","2,370 sq ft",2,4,4 BHK Apartment ,"5, ",Kalyani Nagar,Resale,Freehold,36000000,"₹ 15,189/ sq ft ","Ready to move,Semi-Furnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,BED","Children's play area,Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","2,600 sq ft",3,4,4 BHK Apartment ,"2, ",Kalyani Nagar,Resale,Freehold,36300000,"₹ 13,961/ sq ft ","Ready to move,Semi-Furnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Maintenance Staff,Intercom,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","2,400 sq ft",3,4,4 BHK Apartment ,"11, ",Kalyani Nagar,Resale,Freehold,31800000,"₹ 13,250/ sq ft ","Ready to move,Unfurnished"
6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Golf Course,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Wardrobe","Children's play area,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED",561 sq ft,,1,1 BHK Apartment ,"5, ",Wagholi,Resale,Freehold,2700000,"₹ 4,812/ sq ft ","Ready to move,Semi-Furnished"
1 - 2 years,Car Parking,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,100 sq ft",2,3,3 BHK Apartment ,"4, ",Kalyani Nagar,Resale,Freehold,16000000,"₹ 7,619/ sq ft ","Ready to move,Unfurnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,855 sq ft,,2,2 BHK Apartment ,"6, ",Wagholi,New,Freehold,4600000,"₹ 5,380/ sq ft ",Ready to move
8 years,"Lift Available,24 X 7 Security,Children's play area,Club House,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,AC,Wardrobe,TV,Sofa,Gas connection,BED","Power Backup,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Refrigerator,Wifi,Dining Table",950 sq ft,1,2,2 BHK Apartment ,"4, ",Chinchwad,Resale,Co-Operative Society,6600000,"₹ 6,947/ sq ft ","Ready to move,Semi-Furnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,100 sq ft",,2,2 BHK Apartment ,4,Viman Nagar,Resale,Freehold,7800000,"₹ 7,090/ sq ft ","Ready to move,Unfurnished"
12 - 13 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",Sports Facility,650 sq ft,,1,1 BHK Apartment ,"2, ",Yerawada,Resale,Freehold,5000000,"₹ 7,692/ sq ft ","Ready to move,Unfurnished"
9 - 10 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Landscaped Gardens,Wardrobe,Refrigerator,Sofa,Microwave,Dining Table,BED","Sports Facility,AC,TV,Wifi,Gas connection",930 sq ft,,2,2 BHK Apartment ,"2, ",Viman Nagar,Resale,Freehold,7700000,"₹ 8,279/ sq ft ","Ready to move,Furnished"
9 - 10 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Rain Water Harvesting,Landscaped Gardens,Wardrobe,Refrigerator,Sofa,Washing Machine,Wifi,Microwave,Dining Table,Gas connection,BED","Sports Facility,Jogging Track,AC,TV","1,120 sq ft",,2,2 BHK Apartment ,"3, ",Viman Nagar,Resale,Freehold,8100000,"₹ 7,232/ sq ft ","Ready to move,Furnished"
10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"1,085 sq ft",,2,2 BHK Apartment ,"4, ",Wadgaon Sheri,Resale,Freehold,7600000,"₹ 7,004/ sq ft ","Ready to move,Unfurnished"
10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Wifi,Microwave,Dining Table,Gas connection,BED","Sports Facility,AC","1,250 sq ft",2,2,2 BHK Apartment ,"5, ",Wadgaon Sheri,Resale,Freehold,9000000,"₹ 7,200/ sq ft ","Ready to move,Furnished"
10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Sports Facility,AC,TV,Wifi","1,438 sq ft",1,3,2 BHK Apartment ,"3, ",Koregaon Park,Resale,Freehold,23000000,"₹ 15,994/ sq ft ","Ready to move,Furnished"
10 - 11 years,"Lift Available,Car Parking,24 X 7 Security,Sofa,Washing Machine,Gas connection","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Wifi,Dining Table,BED",550 sq ft,1,1,1 BHK Apartment ,"2, ",Dhole Patil Road,Resale,Freehold,5000000,"₹ 9,090/ sq ft ","Ready to move,Semi-Furnished"
10 - 11 years,"Lift Available,Car Parking","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,100 sq ft",1,2,2 BHK Apartment ,"4, ",Kharadi,Resale,Freehold,7000000,"₹ 6,363/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,Wifi,Gas connection","Swimming Pool,Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","1,164 sq ft",,2,2 BHK Apartment ,"4, ",Kharadi,New,Freehold,7750000,"₹ 6,658/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Gymnasium,Sports Facility","1,055 sq ft",,2,2 BHK Apartment ,"3, ",Sus,New,Co-Operative Society,5400000,"₹ 5,118/ sq ft ",Ready to move
10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,050 sq ft",2,2,2 BHK Apartment ,"3, ",Yerawada,Resale,Freehold,8200000,"₹ 7,809/ sq ft ","Ready to move,Semi-Furnished"
4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,300 sq ft",1,2,3 BHK Apartment ,"5, ",Kalyani Nagar,Resale,Freehold,8700000,"₹ 6,692/ sq ft ","Ready to move,Unfurnished"
12 - 13 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,400 sq ft",3,2,2 BHK Apartment ,"2, ",Bund Garden,Resale,Freehold,15000000,"₹ 10,714/ sq ft ","Ready to move,Unfurnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens",893 sq ft,1,2,2 BHK Apartment ,"1, ",Wagholi,Resale,Freehold,4200000,"₹ 4,703/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,635 sq ft",2,4,4 BHK Apartment ,"4, ",Kharadi,Resale,Freehold,15100000,"₹ 5,730/ sq ft ","Ready to move,Unfurnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","2,501 sq ft",1,4,3 BHK Apartment ,"4, ",Viman Nagar,Resale,Freehold,18300000,"₹ 7,317/ sq ft ","Ready to move,Semi-Furnished"
8 - 9 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens","4,125 sq ft",3,4,4 BHK Apartment ,"9, ",Koregaon Park,Resale,Freehold,42000000,"₹ 10,181/ sq ft ","Ready to move,Unfurnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,800 sq ft",1,3,3 BHK Apartment ,"5, ",Viman Nagar,Resale,Freehold,10100000,"₹ 5,611/ sq ft ","Ready to move,Unfurnished"
6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,AC","Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,740 sq ft",2,3,3 BHK Apartment ,"5, ",Hadapsar,Resale,Freehold,12100000,"₹ 6,954/ sq ft ","Ready to move,Unfurnished"
7 - 8 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility","1,350 sq ft",2,2,2 BHK Apartment ,"4, ",Viman Nagar,Resale,Freehold,7700000,"₹ 5,703/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,050 sq ft",1,4,3 BHK Apartment ,"13, ",Kharadi,Resale,Freehold,14200000,"₹ 6,926/ sq ft ","Ready to move,Unfurnished"
10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,640 sq ft",3,3,3 BHK Apartment ,"5, ",Viman Nagar,Resale,Freehold,16700000,"₹ 6,325/ sq ft ","Ready to move,Unfurnished"
2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,640 sq ft,1,1,1 BHK Apartment ,"7, ",Hadapsar,Resale,Freehold,4300000,"₹ 6,718/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,246 sq ft",1,2,2 BHK Apartment ,"5, ",Bavdhan,New,Freehold,6500000,"₹ 5,216/ sq ft ",Ready to move
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,AC,TV,BED","Club House,Sports Facility,Landscaped Gardens,Wardrobe,Refrigerator,Sofa,Wifi,Dining Table,Gas connection",708 sq ft,1,2,2 BHK Apartment ,"5, ",Talegaon Dabhade,Resale,Freehold,3500000,"₹ 4,943/ sq ft ","Ready to move,Furnished"
0 - 1 year,"Car Parking,Power Backup,24 X 7 Security","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",910 sq ft,3,2,2 BHK Apartment ,"3, ",Koregaon Bhima,New,Freehold,3000000,"₹ 3,296/ sq ft ",Ready to move
10 - 11 years,"Lift Available,Car Parking,24 X 7 Security,Vaastu Compliant,Indoor Games,Maintenance Staff,Intercom,Staff Quarter,Shopping Mall,School,Hospital,ATM,AC,Wardrobe,Refrigerator,BED","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,TV,Sofa,Wifi,Dining Table,Gas connection","1,200 sq ft",,3,3 BHK Apartment ,"4, ",Kothrud,Resale,Freehold,15000000,"₹ 12,500/ sq ft ","Ready to move,Semi-Furnished"
20 - 21 years,"Club House,Maintenance Staff,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection",550 sq ft,,1,1 BHK Apartment ,"2, ",Dhole Patil Road,Resale,Freehold,5000000,"₹ 9,090/ sq ft ","Ready to move,Semi-Furnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,113 sq ft",,2,2 BHK Apartment ,"5, ",Sus,Resale,Freehold,6700000,"₹ 6,019/ sq ft ","Ready to move,Unfurnished"
5 - 6 years,"Car Parking,24 X 7 Security","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,300 sq ft",3,3,3 BHK Apartment ,"1, ",Balewadi,Resale,Co-Operative Society,9000000,"₹ 6,923/ sq ft ","Ready to move,Semi-Furnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Swimming Pool,Jogging Track","Children's play area,Club House,Gymnasium,Sports Facility,Landscaped Gardens","1,300 sq ft",,2,2 BHK Apartment ,2,Mundhwa,Resale,Freehold,11000000,"₹ 8,461/ sq ft ","Ready to move,Semi-Furnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track,Staff Quarter","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","1,650 sq ft",,3,3 BHK Apartment ,5,Kalyani Nagar,Resale,Freehold,13000000,"₹ 7,878/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","1,750 sq ft",,3,3 BHK Apartment ,3,Kalyani Nagar,Resale,Freehold,19000000,"₹ 10,857/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Jogging Track","Children's play area,Swimming Pool,Sports Facility,Landscaped Gardens",800 sq ft,,2,2 BHK Apartment ,2,Kharadi,Resale,Freehold,5000000,"₹ 6,250/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","1,650 sq ft",,3,3 BHK Apartment ,3,Kalyani Nagar,Resale,Freehold,13000000,"₹ 7,878/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,480 sq ft",,3,3 BHK Apartment ,5,Viman Nagar,Resale,Freehold,14000000,"₹ 9,459/ sq ft ","Ready to move,Furnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,500 sq ft",,3,3 BHK Apartment ,1,Viman Nagar,Resale,Freehold,12500000,"₹ 8,333/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Landscaped Gardens",Sports Facility,"1,750 sq ft",,3,3 BHK Apartment ,4,Mundhwa,Resale,Freehold,13000000,"₹ 7,428/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens",573 sq ft,,1,1 BHK Apartment ,3,Viman Nagar,Resale,Freehold,4300000,"₹ 7,504/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Jogging Track,Intercom,Landscaped Gardens","Gymnasium,Swimming Pool,Sports Facility","1,000 sq ft",,2,2 BHK Apartment ,3,Kharadi,Resale,Freehold,6700000,"₹ 6,700/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","1,100 sq ft",,2,2 BHK Apartment ,2,Koregaon Park,Resale,Freehold,8500000,"₹ 7,727/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,093 sq ft",2,2,2 BHK Apartment ,"2, ",Baner,New,Freehold,6011000,"₹ 5,499/ sq ft ",Ready to move
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Sports Facility,Landscaped Gardens","1,680 sq ft",2,3,3 BHK Apartment ,"4, ",Wadgaon Sheri,Resale,Co-Operative Society,12500000,"₹ 7,440/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,310 sq ft",,3,3 BHK Apartment ,"4, ",Bavdhan,New,Freehold,8300000,"₹ 6,335/ sq ft ",Ready to move
25 - 26 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Swimming Pool,Sports Facility,Jogging Track","1,225 sq ft",,3,3 BHK Apartment ,"2, ",Bund Garden,Resale,Freehold,19000000,"₹ 15,510/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Lift Available,Children's play area,Club House,Sports Facility,Landscaped Gardens","2,800 sq ft",,4,4 BHK Villa ,Gr,Wagholi,Resale,Freehold,11800000,"₹ 4,214/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track,Rain Water Harvesting,Shopping Mall,School,Hospital,ATM","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",978 sq ft,,2,2 BHK Apartment ,4,Wagholi,Resale,Freehold,4600000,"₹ 4,703/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,015 sq ft",,2,2 BHK Apartment ,3,Kalyani Nagar,Resale,Freehold,8000000,"₹ 7,881/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","2,600 sq ft",,4,4 BHK Apartment ,3,Mundhwa,Resale,Freehold,21000000,"₹ 8,076/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,486 sq ft",,3,3 BHK Apartment ,7,Kharadi,Resale,Freehold,10000000,"₹ 6,729/ sq ft ","Ready to move,Furnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Staff Quarter","Children's play area,Club House,Sports Facility,Jogging Track,Landscaped Gardens","1,200 sq ft",,2,2 BHK Apartment ,2,Kharadi,Resale,Freehold,8300000,"₹ 6,916/ sq ft ","Ready to move,Unfurnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,850 sq ft",3,3,3 BHK Apartment ,"4, ",Viman Nagar,Resale,Freehold,22500000,"₹ 12,162/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","Lift Available,Sports Facility,Wifi","1,010 sq ft",2,2,2 BHK Apartment ,"2, ",Hadapsar,Resale,Freehold,5500000,"₹ 5,445/ sq ft ","Ready to move,Furnished"
9 - 10 years,"Wardrobe,Sofa,Dining Table,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Wifi,Gas connection",810 sq ft,1,2,2 BHK Apartment ,"3, ",Pimple Gurav,Resale,Freehold,4900000,"₹ 6,049/ sq ft ","Ready to move,Semi-Furnished"
