,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,floor,locality,neworold,ownership,price,pricepersquare,status
7884,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens,BED","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,085 sq ft",1,2,2 BHK Apartment ,"7, ",Kharadi,Resale,Freehold,8500000,"₹ 7,834/ sq ft ","Ready to move,Semi-Furnished"
7885,12 - 13 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Club House,Sports Facility,Landscaped Gardens",550 sq ft,1,1,1 BHK Apartment ,"1, ",Viman Nagar,Resale,Freehold,5000000,"₹ 9,090/ sq ft ","Ready to move,Unfurnished"
7886,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,550 sq ft",2,3,3 BHK Apartment ,"7, ",Wagholi,Resale,Freehold,7200000,"₹ 4,645/ sq ft ","Ready to move,Unfurnished"
7887,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Jogging Track,Landscaped Gardens","Club House,Swimming Pool,Sports Facility",590 sq ft,1,1,1 BHK Apartment ,"2, ",Wagholi,Resale,Freehold,3450000,"₹ 5,847/ sq ft ","Ready to move,Unfurnished"
7888,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Maintenance Staff,Landscaped Gardens","Children's play area,Sports Facility,Jogging Track","1,215 sq ft",2,3,3 BHK Apartment ,"8, ",Wagholi,Resale,Freehold,6400000,"₹ 5,267/ sq ft ","Ready to move,Unfurnished"
7889,5 - 6 years,"Car Parking,24 X 7 Security,Children's play area,Club House,Maintenance Staff","Lift Available,Power Backup,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",850 sq ft,1,2,2 BHK Apartment ,"2, ",Wagholi,Resale,Freehold,3600000,"₹ 4,235/ sq ft ","Ready to move,Unfurnished"
7890,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,775 sq ft,1,2,2 BHK Apartment ,"1, ",Wagholi,Resale,Freehold,4400000,"₹ 5,677/ sq ft ","Ready to move,Unfurnished"
7891,12 - 13 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,464 sq ft",1,3,3 BHK Apartment ,"5, ",Kalyani Nagar,Resale,Freehold,16000000,"₹ 10,928/ sq ft ","Ready to move,Unfurnished"
7892,4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Landscaped Gardens",Sports Facility,817 sq ft,1,2,2 BHK Apartment ,"1, ",Wagholi,Resale,Freehold,4000000,"₹ 4,895/ sq ft ","Ready to move,Unfurnished"
7893,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility","1,070 sq ft",1,2,2 BHK Apartment ,"2, ",Kharadi,Resale,Freehold,7500000,"₹ 7,009/ sq ft ","Ready to move,Unfurnished"
7894,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Gymnasium,Swimming Pool",837 sq ft,1,2,2 BHK Apartment ,"9, ",Wagholi,New,Freehold,4500000,"₹ 5,376/ sq ft ",Ready to move
7895,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,932 sq ft,1,2,2 BHK Apartment ,"2, ",Wagholi,Resale,Freehold,5000000,"₹ 5,364/ sq ft ","Ready to move,Unfurnished"
7896,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","2,130 sq ft",1,3,4 BHK Apartment ,"4, ",Kharadi,Resale,Freehold,14000000,"₹ 6,572/ sq ft ","Ready to move,Unfurnished"
7897,3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Maintenance Staff,Landscaped Gardens","Swimming Pool,Sports Facility,Jogging Track",980 sq ft,1,2,2 BHK Apartment ,"2, ",Wagholi,Resale,Freehold,4500000,"₹ 4,591/ sq ft ","Ready to move,Unfurnished"
7898,4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens",583 sq ft,1,1,1 BHK Apartment ,"1, ",Wagholi,Resale,Freehold,3300000,"₹ 5,660/ sq ft ","Ready to move,Unfurnished"
7899,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility","1,611 sq ft",1,3,3 BHK Apartment ,"8, ",Kharadi,Resale,Freehold,10500000,"₹ 6,517/ sq ft ","Ready to move,Unfurnished"
7900,10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,000 sq ft",1,2,2 BHK Apartment ,"4, ",Kharadi,Resale,Freehold,7000000,"₹ 7,000/ sq ft ","Ready to move,Unfurnished"
7901,4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Gymnasium,Jogging Track,Landscaped Gardens","Club House,Swimming Pool,Sports Facility",630 sq ft,1,1,1 BHK Apartment ,"4, ",Wagholi,Resale,Freehold,4200000,"₹ 6,666/ sq ft ","Ready to move,Unfurnished"
7902,2 - 3 years,"Lift Available,Car Parking,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Landscaped Gardens","Power Backup,Gymnasium,Swimming Pool,Sports Facility,Jogging Track",650 sq ft,1,1,1 BHK Apartment ,"1, ",Wagholi,Resale,Freehold,3200000,"₹ 4,923/ sq ft ","Ready to move,Unfurnished"
7903,3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track",910 sq ft,1,2,2 BHK Apartment ,"1, ",Wagholi,Resale,Freehold,3700000,"₹ 4,065/ sq ft ","Ready to move,Unfurnished"
7904,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Intercom,Staff Quarter","Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens",940 sq ft,1,2,2 BHK Apartment ,"2, ",Wagholi,Resale,Freehold,3600000,"₹ 3,829/ sq ft ","Ready to move,Unfurnished"
7905,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,053 sq ft",2,2,2 BHK Apartment ,"1, ",Wagholi,New,Freehold,4500000,"₹ 4,273/ sq ft ",Ready to move
7906,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"1,010 sq ft",1,2,2 BHK Apartment ,"1, ",Yerawada,Resale,Freehold,11000000,"₹ 10,891/ sq ft ","Ready to move,Unfurnished"
7907,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens",702 sq ft,1,1,2 BHK Apartment ,"7, ",Wagholi,Resale,Freehold,3000000,"₹ 4,273/ sq ft ","Ready to move,Unfurnished"
7908,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,060 sq ft",3,2,2 BHK Apartment ,"6, ",Wagholi,Resale,Freehold,4200000,"₹ 3,962/ sq ft ","Ready to move,Unfurnished"
7909,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,876 sq ft,2,2,2 BHK Apartment ,"11, ",Wagholi,New,Freehold,4100000,"₹ 4,680/ sq ft ",Ready to move
7910,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens,ATM",Sports Facility,937 sq ft,1,2,2 BHK Apartment ,"9, ",Wagholi,Resale,Freehold,10500000,"₹ 11,205/ sq ft ","Ready to move,Unfurnished"
7912,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,979 sq ft",2,3,3 BHK Apartment ,"14, ",Kharadi,Resale,Freehold,17000000,"₹ 8,590/ sq ft ","Ready to move,Unfurnished"
7913,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,944 sq ft,2,2,2 BHK Apartment ,"2, ",Wagholi,New,Freehold,4500000,"₹ 4,766/ sq ft ",Ready to move
7914,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,979 sq ft",2,3,3 BHK Apartment ,"15, ",Kharadi,Resale,Freehold,15900000,"₹ 8,034/ sq ft ","Ready to move,Unfurnished"
7915,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility",760 sq ft,1,2,2 BHK Apartment ,"4, ",Wagholi,Resale,Freehold,4100000,"₹ 5,394/ sq ft ","Ready to move,Unfurnished"
7916,4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Jogging Track,Landscaped Gardens","Gymnasium,Sports Facility",790 sq ft,1,2,2 BHK Apartment ,"6, ",Kharadi,Resale,Freehold,6200000,"₹ 7,848/ sq ft ","Ready to move,Unfurnished"
7917,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,746 sq ft,1,2,2 BHK Apartment ,"6, ",Wagholi,New,Freehold,3900000,"₹ 5,227/ sq ft ",Ready to move
7919,7 - 8 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Staff Quarter,Landscaped Gardens",Sports Facility,"1,236 sq ft",1,2,2 BHK Apartment ,"4, ",Kharadi,Resale,Freehold,7450000,"₹ 6,027/ sq ft ","Ready to move,Unfurnished"
7920,4 - 5 years,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Jogging Track,Landscaped Gardens","Lift Available,Gymnasium,Sports Facility",778 sq ft,1,2,2 BHK Apartment ,"1, ",Kharadi,Resale,Freehold,6400000,"₹ 8,226/ sq ft ","Ready to move,Unfurnished"
7921,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Landscaped Gardens",Sports Facility,710 sq ft,1,1,1 BHK Apartment ,"3, ",Wagholi,New,Freehold,3650000,"₹ 5,140/ sq ft ",Ready to move
7925,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"2,000 sq ft",,3,3 BHK Apartment ,5,Koregaon Park,Resale,Freehold,35500000,"₹ 17,750/ sq ft ","Ready to move,Unfurnished"
7926,10 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","2,800 sq ft",,4,4 BHK Apartment ,"3, ",Koregaon Park,Resale,Freehold,37500000,"₹ 13,392/ sq ft ","Ready to move,Furnished"
7928,3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED",800 sq ft,1,2,1 BHK Apartment ,"2, ",Wagholi,Resale,Co-Operative Society,3100000,"₹ 3,875/ sq ft ","Ready to move,Semi-Furnished"
7929,4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Swimming Pool,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Club House,Sports Facility","2,740 sq ft",1,5,4 BHK Apartment ,"11, ",Kharadi,Resale,Freehold,18500000,"₹ 6,751/ sq ft ","Ready to move,Unfurnished"
7934,14 - 15 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Staff Quarter,School,Hospital,ATM","Sports Facility,Landscaped Gardens","1,050 sq ft",1,2,2 BHK Apartment ,"4, ",Viman Nagar,Resale,Co-Operative Society,7500000,"₹ 7,142/ sq ft ","Ready to move,Unfurnished"
7935,7 - 8 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Jogging Track,Maintenance Staff,Staff Quarter,Shopping Mall,School,Hospital,ATM","Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",750 sq ft,1,1,1 BHK Apartment ,"3, ",Viman Nagar,Resale,Co-Operative Society,5200000,"₹ 6,933/ sq ft ","Ready to move,Unfurnished"
7936,7 - 8 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track,Rain Water Harvesting,Shopping Mall,School,Hospital,ATM","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens",575 sq ft,1,1,1 BHK Apartment ,"1, ",Viman Nagar,Resale,Co-Operative Society,5000000,"₹ 8,695/ sq ft ","Ready to move,Unfurnished"
7937,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Children's play area,824 sq ft,2,2,2 BHK Apartment ,"1, ",Wagholi,New,Freehold,4250000,"₹ 5,157/ sq ft ",Ready to move
7940,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Swimming Pool,Sports Facility,Landscaped Gardens",770 sq ft,2,2,1 BHK Apartment ,"3, ",Wagholi,New,Freehold,4000000,"₹ 5,194/ sq ft ",Ready to move
7941,7 - 8 years,"Lift Available,24 X 7 Security,Children's play area,Vaastu Compliant,Maintenance Staff,Landscaped Gardens","Power Backup,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track",780 sq ft,1,2,2 BHK Apartment ,"3, ",Kharadi,Resale,Freehold,4800000,"₹ 6,153/ sq ft ","Ready to move,Unfurnished"
7951,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",Sports Facility,"4,105 sq ft",,5,4 BHK Apartment ,"12, ",Kalyani Nagar,Resale,Freehold,61100000,"₹ 14,884/ sq ft ","Ready to move,Unfurnished"
7952,10 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,200 sq ft",,3,3 BHK Apartment ,"5, ",Kalyani Nagar,Resale,Freehold,19000000,"₹ 15,833/ sq ft ","Ready to move,Unfurnished"
7954,9 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,150 sq ft",,2,2 BHK Apartment ,"8, ",Kalyani Nagar,Resale,Freehold,11800000,"₹ 10,260/ sq ft ","Ready to move,Unfurnished"
7955,5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,380 sq ft",,3,3 BHK Apartment ,"2, ",Kalyani Nagar,Resale,Freehold,13000000,"₹ 9,420/ sq ft ","Ready to move,Unfurnished"
7957,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Wardrobe,Sofa,BED","AC,TV,Refrigerator,Wifi,Dining Table,Gas connection",885 sq ft,2,2,2 BHK Apartment ,"4, ",Vadgaon Budruk,Resale,Freehold,7200000,"₹ 8,135/ sq ft ","Ready to move,Semi-Furnished"
7959,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Intercom,Landscaped Gardens","Gymnasium,Sports Facility,Jogging Track",710 sq ft,1,1,1 BHK Apartment ,"1, ",Wakad,New,Freehold,3800000,"₹ 5,352/ sq ft ",Ready to move
7960,3 years,"Car Parking,Vaastu Compliant,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Microwave,Gas connection,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wifi,Dining Table","1,800 sq ft",,5,3 BHK Independent House ,"2, ",Vadgaon Sheri,Resale,Freehold,12500000,"₹ 6,944/ sq ft ","Ready to move,Furnished"
7961,7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,500 sq ft",,3,3 BHK Apartment ,"5, ",Viman Nagar,Resale,Freehold,12500000,"₹ 8,333/ sq ft ","Ready to move,Unfurnished"
7963,7 years,"Lift Available,Car Parking,24 X 7 Security,Children's play area,Club House,Gymnasium,Maintenance Staff,Intercom,Multipurpose Room,Landscaped Gardens,Wardrobe,Sofa,Gas connection,BED","Power Backup,Swimming Pool,Sports Facility,Jogging Track,AC,TV,Refrigerator,Wifi,Dining Table","1,030 sq ft",3,2,2 BHK Apartment ,"2, ",Dhayari,Resale,Co-Operative Society,5500000,"₹ 5,339/ sq ft ","Ready to move,Furnished"
7964,14 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,850 sq ft",,3,3 BHK Apartment ,"5, ",Koregaon Park,Resale,Freehold,25000000,"₹ 13,513/ sq ft ","Ready to move,Unfurnished"
7966,16 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Jogging Track,Maintenance Staff,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility","1,700 sq ft",,3,3 BHK Apartment ,2,Koregaon Park,Resale,Freehold,24000000,"₹ 14,117/ sq ft ","Ready to move,Unfurnished"
7969,9 - 10 years,"Lift Available,Power Backup,24 X 7 Security,Shopping Mall,School,Hospital,ATM","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,059 sq ft",2,2,2 BHK Apartment ,"5, ",Kalyani Nagar,Resale,Freehold,7450000,"₹ 7,034/ sq ft ","Ready to move,Unfurnished"
7970,12 - 13 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Shopping Mall,School,Hospital,ATM","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,600 sq ft",,3,3 BHK Apartment ,"2, ",Kalyani Nagar,Resale,Freehold,12000000,"₹ 7,500/ sq ft ","Ready to move,Unfurnished"
7972,3 - 4 years,"Lift Available,Car Parking,Multipurpose Room,Shopping Mall,School,ATM,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wifi","2,200 sq ft",1,3,3 BHK Independent Floor ,"5, ",Nanded City Sinhgad Road,New,Freehold,10000000,"₹ 4,545/ sq ft ",Ready to move
7974,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED",940 sq ft,1,2,2 BHK Apartment ,"4, ",Undri,New,Freehold,5600000,"₹ 5,957/ sq ft ",Ready to move
7975,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Golf Course,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital",Sports Facility,630 sq ft,1,1,1 BHK Apartment ,"2, ",Wagholi,New,Freehold,2300000,"₹ 3,650/ sq ft ",Ready to move
7976,4 years,"AC,Wardrobe,TV,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","3,000 sq ft",2,4,3 BHK Villa ,"1, ",Baner,Resale,Freehold,32500000,"₹ 10,833/ sq ft ","Ready to move,Furnished"
7977,4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,925 sq ft,2,2,2 BHK Apartment ,"6, ",Vishrantwadi,Resale,Freehold,6500000,"₹ 7,027/ sq ft ","Ready to move,Unfurnished"
7982,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","2,615 sq ft",,5,4 BHK Apartment ,"8, ",Koregaon Park,Resale,Freehold,40000000,"₹ 15,296/ sq ft ","Ready to move,Semi-Furnished"
7983,10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","1,540 sq ft",,3,3 BHK Apartment ,"10, ",Kalyani Nagar,Resale,Co-Operative Society,12100000,"₹ 7,857/ sq ft ","Ready to move,Unfurnished"
7984,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,BED","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,650 sq ft",,3,3 BHK Apartment ,"2, ",Bund Garden,Resale,Co-Operative Society,20000000,"₹ 12,121/ sq ft ","Ready to move,Furnished"
